,C,Cr,Co,Mo,W,Ti,Al,Nb,Ta,B,Zr,Hf,V,Re,Ir,temp,sigma
70,0.0,6.6,9.65,0.6,6.4,1.0,5.6,0.0,6.5,0.0,0.0,0.095,0.0,3.0,0.0,870,586.5
80,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,850,371.25
66,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,816,510.0
78,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,816,712.3
108,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,850,609.7
49,0.0,9.0,0.0,1.0,10.5,1.1,5.775,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,926,326.0
63,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,816,623.5
77,0.0,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,926,343.0
91,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,926,423.0
98,0.0,6.6,9.65,0.6,6.4,1.0,5.6,0.0,6.5,0.0,0.0,0.095,0.0,3.0,0.0,926,421.0
105,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,870,452.0
126,0.02,8.0,13.0,2.3,0.0,4.6,6.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,900,363.0
133,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,926,482.0
88,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,850,460.0
104,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,850,595.5
128,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,940,378.0
152,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,940,443.0
81,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,816,727.7
99,0.0,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,950,297.0
117,0.15,5.0,9.0,1.0,8.3,0.0,6.0,1.5,4.0,0.015,0.05,0.0,0.0,4.0,0.0,950,364.0
135,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,870,540.3
162,0.0,8.1,5.55,2.22,4.98,2.02,6.07,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,900,442.2
171,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,950,418.0
110,0.02,9.5,15.0,3.0,0.0,4.75,5.5,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,870,455.0
130,0.0,7.0,5.0,2.25,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,870,527.1
150,0.02,5.0,4.0,5.0,2.2,0.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,380.0
160,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,940,220.0
170,0.0,6.5,9.0,0.6,6.0,1.0,5.6,0.0,9.5,0.0,0.0,0.1,0.0,3.0,0.0,982,318.0
180,0.035,5.7,0.0,3.2,3.5,1.6,8.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,950,206.0
190,0.0,2.0,3.0,0.4,5.0,0.2,5.7,0.1,8.0,0.0,0.0,0.15,0.0,6.0,0.0,982,339.0
121,0.0,8.0,5.0,0.6,8.0,1.0,5.6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,218.0
